Familia,nombre_cientifico,nombre_comun,nombre_ingles,categoria_IUCN,categoria_MMA,status
Icteridae,Leistes bellicosus,Loica peruana,Peruvian Meadowlark,LC,,X
Icteridae,Leistes loyca,Loica común,Long-tailed Meadowlark,LC,,X
Icteridae,Leistes superciliaris,Loica argentina,White-browed Meadowlark,LC,,E
Furnariidae,Leptasthenura aegithaloides,Tijeral común,Plain-mantled Tit-Spinetail,LC,,X
Furnariidae,Leptasthenura striata,Tijeral listado,Streaked Tit-Spinetail,LC,,X
Tyrannidae,Lessonia oreas,Colegial del norte,Andean Negrito,LC,,X
Tyrannidae,Lessonia rufa,Colegial austral,Austral Negrito,LC,,X
Phalacrocoracidae,Leucocarbo atriceps,Cormorán imperial,Imperial Cormorant,LC,,X
Phalacrocoracidae,Leucocarbo bougainvilliorum,Guanay,Guanay Cormorant,NT,NT,X
Phalacrocoracidae,Leucocarbo magellanicus,Cormorán de las rocas,Magellanic Cormorant,LC,,X
Laridae,Leucophaeus atricilla,Gaviota reidora,Laughing Gull,LC,,E
Laridae,Leucophaeus modestus,Gaviota garuma,Gray Gull,LC,VU,X
Laridae,Leucophaeus pipixcan,Gaviota de Franklin,Franklin's Gull,LC,LC,NR
Laridae,Leucophaeus scoresbii,Gaviota austral,Dolphin Gull,LC,,X
Scolopacidae,Limnodromus griseus,Becacina chica,Short-billed Dowitcher,LC,,E
Scolopacidae,Limosa fedoa,Zarapito moteado,Marbled Godwit,LC,,E
Scolopacidae,Limosa haemastica,Zarapito de pico recto,Hudsonian Godwit,LC,,NR
Scolopacidae,Limosa lapponica,Zarapito de cola barrada,Bar-tailed Godwit,NT,,E
Anatidae,Lophonetta specularioides,Pato juarjual,Crested Duck,LC,,X
Tyrannidae,Machetornis rixosa,Picabuey,Cattle Tyrant,LC,,E
Procellariidae,Macronectes giganteus,Petrel gigante antártico,Southern Giant-Petrel,LC,VU,X
Procellariidae,Macronectes halli,Petrel gigante subantártico,Northern Giant-Petrel,LC,,NR
Anatidae,Mareca sibilatrix,Pato real,Chiloe Wigeon,LC,,X
Alcedinidae,Megaceryle torquata,Martín pescador,Ringed Kingfisher,LC,,X
Tyrannidae,Megarynchus pitangua,Pitanguá,Boat-billed Flycatcher,LC,,E
Thraupidae,Melanodera melanodera,Yal austral,White-bridled Finch,LC,,X
Thraupidae,Melanodera xanthogramma,Yal cordillerano,Yellow-bridled Finch,LC,,X
Anatidae,Merganetta armata,Pato cortacorrientes,Torrent Duck,LC,NT,X
Columbidae,Metriopelia aymara,Tortolita de la puna,Golden-spotted Ground Dove,LC,,X
Columbidae,Metriopelia ceciliae,Tortolita boliviana,Bare-faced Ground Dove,LC,,X
Columbidae,Metriopelia melanoptera,Tortolita cordillerana,Black-winged Ground Dove,LC,,X
Thraupidae,Microspingus torquatus,Monterita de collar,Ringed Warbling Finch,LC,,E
Mimidae,Mimus patagonicus,Tenca patagónica,Patagonian Mockingbird,LC,,X
Mimidae,Mimus saturninus,Tenca calandria,Chalk-browed Mockingbird,LC,,E
Mimidae,Mimus thenca,Tenca chilena,Chilean Mockingbird,LC,,X
Mimidae,Mimus triurus,Tenca de alas blancas,White-banded Mockingbird,LC,,X
Icteridae,Molothrus bonariensis,Mirlo común,Shiny Cowbird,LC,,IN
Icteridae,Molothrus rufoaxillaris,Mirlo de pico corto,Screaming Cowbird,LC,,X
Tyrannidae,Muscigralla brevicauda,Cazamoscas de cola corta,Short-tailed Field Tyrant,LC,,E
Tyrannidae,Muscisaxicola albifrons,Dormilona gigante,White-fronted Ground-Tyrant,LC,,X
Tyrannidae,Muscisaxicola albilora,Dormilona de ceja blanca,White-browed Ground-Tyrant,LC,,X
Tyrannidae,Muscisaxicola capistratus,Dormilona rufa,Cinnamon-bellied Ground-Tyrant,LC,,X
Tyrannidae,Muscisaxicola cinereus,Dormilona cenicienta,Cinereous Ground-Tyrant,LC,,X
Tyrannidae,Muscisaxicola flavinucha,Dormilona fraile,Ochre-naped Ground-Tyrant,LC,,X
Tyrannidae,Muscisaxicola frontalis,Dormilona de frente negra,Black-fronted Ground-Tyrant,LC,,X
Tyrannidae,Muscisaxicola juninensis,Dormilona de la puna,Puna Ground-Tyrant,LC,,X
Tyrannidae,Muscisaxicola maclovianus,Dormilona tontita,Dark-faced Ground-Tyrant,LC,,X
Tyrannidae,Muscisaxicola maculirostris,Dormilona chica,Spot-billed Ground-Tyrant,LC,,X
Tyrannidae,Muscisaxicola rufivertex,Dormilona de nuca rojiza,Rufous-naped Ground-Tyrant,LC,,X
Ciconiidae,Mycteria americana,Cigüeña de cabeza pelada,Wood Stork,LC,,E
Tyrannidae,Myiodynastes luteiventris,Benteveo de vientre azufre,Sulphur-bellied Flycatcher,LC,,E
Tyrannidae,Myiodynastes maculatus,Benteveo rayado,Streaked Flycatcher,LC,,E
Tyrannidae,Myiophobus fasciatus,Cazamoscas de pico chato,Bran-colored Flycatcher,LC,,X
Psittacidae,Myiopsitta monachus,Cotorra,Monk Parakeet,LC,,IN
Phalacrocoracidae,Nannopterum brasilianus,Yeco,Neotropic Cormorant,LC,,X
Tyrannidae,Neoxolmis coronatus,Monjita coronada,Black-crowned Monjita,LC,,E
Tyrannidae,Neoxolmis rubetra,Monjita castaña,Rusty-backed Monjita,LC,,E
Tyrannidae,Neoxolmis rufiventris,Cazamoscas chocolate,Chocolate-vented Tyrant,LC,LC,X
